,Date&Time,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_10,feature_11,feature_12,feature_13,target
83,2021-01-04 11:00:00,,,,,,,,,,,,0,0.0
84,2021-01-04 12:00:00,,,,,,,,,,,,0,0.0
85,2021-01-04 13:00:00,,,,,,,,,,,,0,0.0
86,2021-01-04 14:00:00,,,,,,2554.4046500000004,,,,,,0,0.0
87,2021-01-04 15:00:00,,,,,,,,,,,,0,0.0
88,2021-01-04 16:00:00,,,,,,2556.75894,,,,,,0,0.0
89,2021-01-04 17:00:00,,,,,,,,,,,,0,0.0
90,2021-01-04 18:00:00,,,,,,,,,,,,0,0.0
91,2021-01-04 19:00:00,,,,,,,,,,,,0,0.0
92,2021-01-04 20:00:00,,,,,,,,,,,,0,0.0
93,2021-01-04 21:00:00,,,,,,,,,,,,0,0.0
94,2021-01-04 22:00:00,,,,,,,,,,,,0,0.0
95,2021-01-04 23:00:00,,,,,,,,,,,,0,0.0
96,2021-01-05 00:00:00,,,,,,,,,,,,1,0.0
97,2021-01-05 01:00:00,,,,,,,,,,,,1,0.0
98,2021-01-05 02:00:00,,,,,,,,,,,,1,0.0
99,2021-01-05 03:00:00,,,,,,,,,,,,1,0.0
100,2021-01-05 04:00:00,,,,,,,,,,,,1,0.0
101,2021-01-05 05:00:00,,,,,,,,,,,,1,0.0
102,2021-01-05 06:00:00,,,,,,,,,,,,1,0.0
103,2021-01-05 07:00:00,,,,,,,,,,,,1,0.0
104,2021-01-05 08:00:00,,,,,,,,,,,,1,0.0
105,2021-01-05 09:00:00,,,,,,,,,,,,1,0.0
106,2021-01-05 10:00:00,,,,,,,,,,,,1,0.0
107,2021-01-05 11:00:00,,,,,,,,,,,,1,0.0
108,2021-01-05 12:00:00,,,,,,2559.1132300000004,,,,,,1,0.0
109,2021-01-05 13:00:00,,,,,,,,,,,,1,0.0
110,2021-01-05 14:00:00,,,,,,,,,,,,1,0.0
111,2021-01-05 15:00:00,,,,,,2561.46752,,,,,,1,0.0
112,2021-01-05 16:00:00,,,,,,,,,,,,1,0.0
113,2021-01-05 17:00:00,,,,,,,,,,,,1,0.0
114,2021-01-05 18:00:00,,,,,,,,,,,,1,0.0
115,2021-01-05 19:00:00,,,,,,,,,,,,1,0.0
116,2021-01-05 20:00:00,,,,,,,,,,,,1,0.0
117,2021-01-05 21:00:00,,,,,,,,,,,,1,0.0
118,2021-01-05 22:00:00,,,,,,,,,,,,1,0.0
119,2021-01-05 23:00:00,,,,,,,,,,,,1,0.0
120,2021-01-06 00:00:00,,,,,,,,,,,,2,0.0
121,2021-01-06 01:00:00,,,,,,,,,,,,2,0.0
122,2021-01-06 02:00:00,,,,,,,,,,,,2,0.0
123,2021-01-06 03:00:00,,,,,,2563.8218100000004,,,,,,2,0.0
124,2021-01-06 04:00:00,,,,,,,,,,,,2,0.0
125,2021-01-06 05:00:00,,,,,,,,,,,,2,0.0
126,2021-01-06 06:00:00,,,,,,,,,,,,2,0.0
127,2021-01-06 07:00:00,,,,,,2566.1761,,,,,,2,0.0
128,2021-01-06 08:00:00,,,,,,,,,,,,2,0.0
129,2021-01-06 09:00:00,,,,,,,,,,,,2,0.0
130,2021-01-06 10:00:00,,,,,,,,,,,,2,0.0
131,2021-01-06 11:00:00,,,,,,,,,,,,2,0.0
132,2021-01-06 12:00:00,,,,,,,,,,,,2,0.0
133,2021-01-06 13:00:00,,,,,,,,,,,,2,0.0
134,2021-01-06 14:00:00,,,,,,,,,,,,2,0.0
135,2021-01-06 15:00:00,,,,,,,,,,,,2,0.0
136,2021-01-06 16:00:00,,,,,,,,,,,,2,0.0
137,2021-01-06 17:00:00,,,,,,,,,,,,2,0.0
138,2021-01-06 18:00:00,,,,,,,,,,,,2,0.0
139,2021-01-06 19:00:00,,,,,,,,,,,,2,0.0
140,2021-01-06 20:00:00,,,,,,,,,,,,2,0.0
141,2021-01-06 21:00:00,,,,,,,,,,,,2,0.0
142,2021-01-06 22:00:00,,,,,,,,,,,,2,0.0
143,2021-01-06 23:00:00,,,,,,,,,,,,2,0.0
144,2021-01-07 00:00:00,,,,,,,,,,,,3,0.0
145,2021-01-07 01:00:00,,,,,,,,,,,,3,0.0
146,2021-01-07 02:00:00,,,,,,,,,,,,3,0.0
147,2021-01-07 03:00:00,,,,,,,,,,,,3,0.0
148,2021-01-07 04:00:00,,,,,,,,,,,,3,0.0
149,2021-01-07 05:00:00,,,,,,,,,,,,3,0.0
150,2021-01-07 06:00:00,,,,,,,,,,,,3,0.0
151,2021-01-07 07:00:00,,,,,,,,,,,,3,0.0
152,2021-01-07 08:00:00,,,,,,,,,,,,3,0.0
153,2021-01-07 09:00:00,,,,,,,,,,,,3,0.0
154,2021-01-07 10:00:00,,,,,,,,,,,,3,0.0
